"ngb","Medal_Type","Medals_Won"
"USA Softball","Gold",1
"USA Softball","Silver",2
"USA Softball","Bronze",0
"USA Softball","Total",3
"USA Surfing","Gold",2
"USA Surfing","Silver",1
"USA Surfing","Bronze",2
"USA Surfing","Total",5
"USA Swimming","Gold",32
"USA Swimming","Silver",26
"USA Swimming","Bronze",17
"USA Swimming","Total",75
"USA Table Tennis","Gold",3
"USA Table Tennis","Silver",6
"USA Table Tennis","Bronze",5
"USA Table Tennis","Total",14
"USA Taekwondo","Gold",6
"USA Taekwondo","Silver",1
"USA Taekwondo","Bronze",7
"USA Taekwondo","Total",14
"USA Team Handball","Gold",0
"USA Team Handball","Silver",0
"USA Team Handball","Bronze",0
"USA Team Handball","Total",0
"USA Track & Field","Gold",14
"USA Track & Field","Silver",26
"USA Track & Field","Bronze",19
"USA Track & Field","Total",59
"USA Triathlon","Gold",3
"USA Triathlon","Silver",3
"USA Triathlon","Bronze",1
"USA Triathlon","Total",7
"USA Volleyball","Gold",5
"USA Volleyball","Silver",1
"USA Volleyball","Bronze",0
"USA Volleyball","Total",6
"USA Water Polo","Gold",3
"USA Water Polo","Silver",0
"USA Water Polo","Bronze",0
"USA Water Polo","Total",3
"USA Water Ski & Wake Sports","Gold",5
"USA Water Ski & Wake Sports","Silver",2
"USA Water Ski & Wake Sports","Bronze",1
"USA Water Ski & Wake Sports","Total",8
"USA Weightlifting","Gold",2
"USA Weightlifting","Silver",2
"USA Weightlifting","Bronze",3
"USA Weightlifting","Total",7
"USA Wheelchair Rugby","Gold",1
"USA Wheelchair Rugby","Silver",1
"USA Wheelchair Rugby","Bronze",0
"USA Wheelchair Rugby","Total",2
"USA Wrestling","Gold",12
"USA Wrestling","Silver",4
"USA Wrestling","Bronze",8
"USA Wrestling","Total",24
"USRowing","Gold",0
"USRowing","Silver",2
"USRowing","Bronze",1
"USRowing","Total",3
